Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
net.sf.jabref.gui.actions.MnemonicAwareAction,7,33,3,36,26,0,0,no
net.sf.jabref.gui.actions.NewDatabaseAction,10,0,2,38,16,0,1,no
net.sf.jabref.gui.actions.NewEntryAction,17,0,4,40,44,50,1,no
net.sf.jabref.gui.actions.NewSubDatabaseAction,15,0,2,38,24,0,1,no
net.sf.jabref.gui.actions.PasteAction,10,0,2,35,21,0,0,yes
net.sf.jabref.gui.actions.RelativePathsCleanup,12,0,2,15,38,0,0,no
net.sf.jabref.gui.actions.RenamePdfCleanup,17,0,3,16,70,33,0,no
net.sf.jabref.gui.actions.SortTabsAction,10,0,3,39,25,33,1,no
net.sf.jabref.gui.actions.UnicodeCleanup,7,0,1,14,20,0,0,no
net.sf.jabref.gui.AttachFileDialog,23,0,4,754,90,65,0,no
net.sf.jabref.gui.autocompleter.AutoCompleteListener,14,0,15,32,309,73,0,yes
net.sf.jabref.gui.autocompleter.AutoCompleteRenderer,3,1,6,19,10,0,0,no
net.sf.jabref.gui.autocompleter.AutoCompleteSupport,19,0,8,21,142,67,0,no
net.sf.jabref.gui.autocompleter.AutoCompleteSupport.ComboBoxEditorFocusHandler,4,0,2,18,10,0,0,no
net.sf.jabref.gui.autocompleter.AutoCompleteSupport.MoveAction,6,0,2,35,13,0,0,no
net.sf.jabref.gui.autocompleter.ListAutoCompleteRenderer,14,0,5,24,56,60,1,no
net.sf.jabref.gui.BasePanel,140,0,88,787,1776,95,0,yes
net.sf.jabref.gui.BasePanel.AutoCompletersUpdater,5,0,1,14,7,0,0,yes
net.sf.jabref.gui.BasePanel.GroupTreeUpdater,14,0,1,14,20,0,0,yes
net.sf.jabref.gui.BasePanel.RedoAction,13,0,1,14,17,0,0,yes
net.sf.jabref.gui.BasePanel.SaveSelectedAction,14,0,2,15,22,0,0,no
net.sf.jabref.gui.BasePanel.SearchAndOpenFile,21,0,2,15,53,0,0,yes
net.sf.jabref.gui.BasePanel.SearchAutoCompleterUpdater,5,0,1,14,7,0,0,no
net.sf.jabref.gui.BasePanel.StartStopListAction,0,0,5,18,34,30,0,yes
net.sf.jabref.gui.BasePanel.UndoAction,15,0,1,14,22,0,0,yes
net.sf.jabref.gui.BibtexFields,15,0,17,30,374,91,0,yes
net.sf.jabref.gui.BibtexFields.BibtexSingleField,2,0,24,37,100,88,0,yes
net.sf.jabref.gui.BibtexKeyPatternDialog,16,0,4,754,58,58,0,no
net.sf.jabref.gui.CheckBoxMessage,9,0,2,701,22,50,0,yes
net.sf.jabref.gui.ClipBoardManager,9,0,3,16,25,83,0,yes
net.sf.jabref.gui.ColorSetupPanel,9,0,3,702,114,66,0,yes
net.sf.jabref.gui.ColorSetupPanel.ColorButton,8,0,9,817,48,74,0,no
net.sf.jabref.gui.ColorSetupPanel.ColorButtonListener,5,0,2,15,12,0,0,no
net.sf.jabref.gui.ContentSelectorDialog2,33,0,8,758,396,78,0,yes
net.sf.jabref.gui.DatabasePropertiesDialog,36,0,7,757,324,56,0,yes
net.sf.jabref.gui.date.DatePickerButton,10,0,3,16,24,33,0,no
net.sf.jabref.gui.desktop.JabRefDesktop,42,0,12,25,261,0,0,yes
net.sf.jabref.gui.DragDropPane,1,1,1,763,100,33,0,no
net.sf.jabref.gui.DragDropPane.MarkerPane,9,0,3,702,19,33,0,no
net.sf.jabref.gui.DragDropPopupPane,3,0,2,765,17,0,1,yes
net.sf.jabref.gui.DuplicateResolverDialog,13,0,9,759,155,91,0,yes
net.sf.jabref.gui.DuplicateSearch,19,0,2,15,157,33,0,yes
