Name,CBO,NOC,WMC,RFC,DIT,LCOM,SLOC,change
org.apache.click.examples.quartz.SchedulerService,8,0,16,29,0,66,168,no
org.apache.click.examples.service.BookingService,6,0,2,35,1,0,11,no
org.apache.click.examples.service.ClientService,4,0,4,37,1,0,22,yes
org.apache.click.examples.service.CustomerService,11,0,19,52,1,0,178,no
org.apache.click.examples.service.CustomerService.CountQuery,3,0,2,15,1,50,20,no
org.apache.click.examples.service.PostCodeService,6,0,2,35,1,0,22,no
org.apache.click.examples.service.StudentService,10,0,11,44,1,0,89,no
org.apache.click.examples.service.UserService,4,0,3,36,1,0,19,no
org.apache.click.examples.springsecurity.UserDetailsAdaptor,3,0,8,21,0,81,28,no
org.apache.click.examples.springsecurity.UserDetailsService,5,0,1,14,0,0,12,no
org.apache.click.examples.util.DatabaseInitListener,20,0,14,27,0,90,216,no
org.apache.click.examples.util.DatabaseInitListener.ReloadTask,7,0,2,19,0,0,26,no
org.apache.click.examples.util.ExampleUtils,11,0,5,18,0,80,58,no
org.apache.click.extras.cayenne.CayenneForm,20,2,18,189,3,81,243,yes
org.apache.click.extras.cayenne.CayenneTemplate,11,6,20,33,0,0,117,yes
org.apache.click.extras.cayenne.CayenneUtils,6,0,4,17,0,0,95,yes
org.apache.click.extras.cayenne.DataContextFilter,11,0,7,20,0,66,139,yes
org.apache.click.extras.cayenne.PropertySelect,21,0,29,179,3,93,237,no
org.apache.click.extras.cayenne.QuerySelect,14,0,25,175,3,91,164,no
org.apache.click.extras.cayenne.TabbedCayenneForm,14,0,19,208,4,91,103,yes
org.apache.click.extras.control.AbstractContainerField,12,2,25,140,2,96,172,yes
org.apache.click.extras.control.AbstractContainerFieldText,12,0,3,16,1,0,53,yes
org.apache.click.extras.control.AbstractContainerFieldText.FeedbackBorder,2,0,1,141,3,0,9,yes
org.apache.click.extras.control.AutoCompleteTextField,18,1,15,149,3,93,159,yes
org.apache.click.extras.control.CheckList,31,0,39,154,2,94,455,yes
org.apache.click.extras.control.CheckListTest,10,0,6,19,1,0,66,yes
org.apache.click.extras.control.ColorPicker,14,0,17,132,2,90,150,no
org.apache.click.extras.control.ColorPickerTest,7,0,2,15,1,0,42,yes
org.apache.click.extras.control.CountryFieldTest,8,0,1,14,1,0,15,yes
org.apache.click.extras.control.CountrySelect,10,0,11,161,3,86,79,yes
org.apache.click.extras.control.CreditCardField,13,0,15,149,3,89,164,no
org.apache.click.extras.control.DateField,23,1,37,171,3,94,405,yes
org.apache.click.extras.control.DateFieldTest,9,0,4,17,1,0,74,yes
org.apache.click.extras.control.DateFieldTest.MyDateField,1,0,1,172,4,0,4,yes
org.apache.click.extras.control.DoubleField,6,0,12,168,4,100,80,no
org.apache.click.extras.control.DoubleFieldTest,11,0,4,17,1,50,100,yes
org.apache.click.extras.control.EmailField,8,0,10,144,3,95,94,no
org.apache.click.extras.control.EmailFieldTest,7,0,1,14,1,0,53,no
org.apache.click.extras.control.ExternalLink,5,0,9,95,2,83,41,no
org.apache.click.extras.control.FieldColumn,15,0,9,78,1,81,99,yes
org.apache.click.extras.control.FormTable,18,0,20,153,2,88,236,yes
org.apache.click.extras.control.FormTableTest,7,0,1,14,1,0,25,yes
org.apache.click.extras.control.HiddenList,7,0,9,124,2,88,57,yes
org.apache.click.extras.control.HiddenListTest,4,0,4,17,1,0,43,yes
org.apache.click.extras.control.HtmlFieldSet,7,1,11,173,3,100,84,no
org.apache.click.extras.control.HtmlFieldSetTest,5,0,1,14,1,0,10,no
org.apache.click.extras.control.HtmlForm,11,1,10,181,3,100,105,yes
org.apache.click.extras.control.IntegerField,4,1,13,169,4,100,92,yes
org.apache.click.extras.control.IntegerFieldTest,9,0,1,14,1,0,77,yes
org.apache.click.extras.control.LinkDecorator,17,1,16,29,0,71,301,yes
org.apache.click.extras.control.LinkDecorator.PageNumberControl,9,0,3,61,1,66,63,yes
org.apache.click.extras.control.LongField,4,0,12,168,4,100,83,yes
org.apache.click.extras.control.LongFieldTest,9,0,1,14,1,0,63,yes
org.apache.click.extras.control.Menu,27,1,50,108,1,96,526,yes
org.apache.click.extras.control.MenuFactory,24,0,12,25,0,83,233,yes
org.apache.click.extras.control.MenuFactoryTest,5,0,4,17,1,0,31,no
org.apache.click.extras.control.MenuTest,5,0,2,15,1,0,28,yes
org.apache.click.extras.control.MenuTest.MyMenu,1,0,1,109,2,0,4,yes
org.apache.click.extras.control.NumberField,14,3,22,156,3,90,177,no
org.apache.click.extras.control.NumberFieldTest,13,0,5,18,1,60,128,yes
org.apache.click.extras.control.PageButton,3,0,9,106,3,100,49,no
org.apache.click.extras.control.PageSubmit,6,0,8,144,4,81,46,yes
org.apache.click.extras.control.PickList,29,0,31,146,2,93,325,yes
org.apache.click.extras.control.RegexField,8,0,13,147,3,92,88,no
org.apache.click.extras.control.SubmitLink,14,0,19,124,3,89,199,yes
org.apache.click.extras.control.TabbedForm,13,0,19,190,3,91,101,yes
org.apache.click.extras.control.TabbedFormTest,4,0,1,14,1,0,14,no
org.apache.click.extras.control.TableInlinePaginator,9,0,2,20,1,75,111,yes
org.apache.click.extras.control.TelephoneField,2,0,8,142,3,100,57,no
org.apache.click.extras.control.TelephoneFieldTest,7,0,1,14,1,0,53,no
org.apache.click.extras.control.VirtualKeyboard,10,0,4,138,3,100,41,yes
org.apache.click.extras.filter.CompressionFilter,9,0,8,21,0,72,97,yes
org.apache.click.extras.filter.CompressionResponseStream,5,0,12,25,1,75,125,no
org.apache.click.extras.filter.CompressionServletResponseWrapper,8,0,11,24,1,79,91,no
org.apache.click.extras.filter.PerformanceFilter,14,0,15,28,0,87,269,yes
org.apache.click.extras.gae.GoogleAppEngineListener,0,0,3,16,0,0,9,no
org.apache.click.extras.gae.MemoryFileItem,10,0,19,32,0,87,82,yes
org.apache.click.extras.gae.MemoryFileItemFactory,2,0,1,14,0,0,8,no
org.apache.click.extras.gae.MemoryFileItemTest,9,0,1,14,1,0,26,no
org.apache.click.extras.gae.MemoryFileUploadService,3,0,2,23,1,0,9,no
org.apache.click.extras.hibernate.HibernateForm,12,0,12,183,3,86,133,yes
org.apache.click.extras.hibernate.SessionContext,7,0,7,20,0,64,45,yes
org.apache.click.extras.hibernate.SessionFilter,4,0,3,16,0,0,20,no
org.apache.click.extras.pages.MemoryFileItemUploadPage,3,0,2,59,1,0,15,yes
org.apache.click.extras.panel.ListPanel,0,0,0,106,3,0,3,yes
org.apache.click.extras.panel.TabbedPanel,10,0,20,126,3,88,172,yes
org.apache.click.extras.panel.TabbedPanelTest,11,0,5,18,1,0,80,yes
org.apache.click.extras.security.RoleAccessController,1,0,1,14,0,0,5,yes
org.apache.click.extras.service.FreemarkerTemplateService,11,0,6,19,0,69,84,yes
org.apache.click.extras.service.JdkLogService,5,0,17,30,0,52,54,no
org.apache.click.extras.service.Log4JLogService,3,0,17,30,0,52,54,no
org.apache.click.extras.service.Slf4jLogService,3,0,17,30,0,52,54,no
org.apache.click.extras.spring.PageScopeResolver,6,0,1,14,0,0,17,yes
