Name,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
org.apache.zookeeper.server.DatadirCleanupManager,7,0,8,21,79,0,64,yes
org.apache.zookeeper.server.DatadirCleanupManager.PurgeTask,6,0,2,19,19,0,0,yes
org.apache.zookeeper.server.DatadirCleanupManagerTest,6,0,5,18,52,0,19,yes
org.apache.zookeeper.server.DataNode,8,0,9,22,70,0,62,yes
org.apache.zookeeper.server.DataTree,43,0,46,59,905,0,90,yes
org.apache.zookeeper.server.DataTree.Counts,0,0,0,13,4,0,0,yes
org.apache.zookeeper.server.DataTree.ProcessTxnResult,4,0,2,15,22,0,75,yes
org.apache.zookeeper.server.DataTreeBean,3,0,8,21,27,0,25,no
org.apache.zookeeper.server.DataTreeTest,19,0,9,23,140,1,72,no
org.apache.zookeeper.server.DataTreeTest.testRootWatchTriggered.MyWatcher,2,0,1,14,7,0,0,no
org.apache.zookeeper.server.DeserializationPerfTest,15,0,9,23,70,1,88,yes
org.apache.zookeeper.server.ExitCode,0,0,0,13,3,0,0,no
org.apache.zookeeper.server.FinalRequestProcessor,40,1,3,16,297,0,33,yes
org.apache.zookeeper.server.InvalidSnapCountTest,7,0,2,16,62,1,100,no
org.apache.zookeeper.server.InvalidSnapCountTest.MainThread,12,0,3,89,40,0,16,yes
org.apache.zookeeper.server.InvalidSnapCountTest.TestMain,0,0,1,18,4,1,0,no
org.apache.zookeeper.server.InvalidSnapshotTest,12,0,2,49,34,2,50,no
org.apache.zookeeper.server.jersey.Base,10,9,3,16,40,1,56,yes
org.apache.zookeeper.server.jersey.cfg.Credentials,1,0,3,85,21,0,0,no
org.apache.zookeeper.server.jersey.cfg.Endpoint,4,0,10,23,41,0,70,no
org.apache.zookeeper.server.jersey.cfg.HostPort,3,0,5,18,24,0,19,no
org.apache.zookeeper.server.jersey.cfg.HostPortSet,5,0,2,15,22,0,25,no
org.apache.zookeeper.server.jersey.cfg.RestCfg,13,0,11,24,67,0,63,no
org.apache.zookeeper.server.jersey.CreateTest,7,0,3,19,103,2,37,no
org.apache.zookeeper.server.jersey.CreateTest.MyWatcher,1,0,1,14,4,0,0,yes
org.apache.zookeeper.server.jersey.DeleteTest,8,0,4,20,39,2,58,no
org.apache.zookeeper.server.jersey.DeleteTest.MyWatcher,1,0,1,14,4,0,0,yes
org.apache.zookeeper.server.jersey.ExistsTest,5,0,4,20,34,2,58,yes
org.apache.zookeeper.server.jersey.filters.HTTPBasicAuth,5,0,5,18,41,0,60,no
org.apache.zookeeper.server.jersey.GetChildrenTest,12,0,3,19,83,2,38,yes
org.apache.zookeeper.server.jersey.GetTest,7,0,3,19,71,2,38,yes
org.apache.zookeeper.server.jersey.jaxb.ZChildren,6,0,5,18,39,0,50,no
org.apache.zookeeper.server.jersey.jaxb.ZChildrenJSON,4,0,5,18,37,0,50,no
org.apache.zookeeper.server.jersey.jaxb.ZError,1,0,2,15,10,0,50,no
org.apache.zookeeper.server.jersey.jaxb.ZPath,2,0,6,19,29,0,58,no
org.apache.zookeeper.server.jersey.jaxb.ZSession,2,0,5,18,26,0,50,no
org.apache.zookeeper.server.jersey.jaxb.ZStat,2,0,6,19,64,0,75,no
org.apache.zookeeper.server.jersey.resources.JAXBContextResolver,9,0,2,15,28,0,0,no
org.apache.zookeeper.server.jersey.resources.KeeperExceptionMapper,4,0,2,15,47,0,0,no
org.apache.zookeeper.server.jersey.resources.RuntimeExceptionMapper,2,0,2,15,18,0,0,no
org.apache.zookeeper.server.jersey.resources.SessionsResource,10,0,5,18,70,0,50,no
org.apache.zookeeper.server.jersey.resources.ZErrorWriter,7,0,3,16,20,0,0,no
org.apache.zookeeper.server.jersey.resources.ZNodeResource,19,0,14,27,296,0,28,no
org.apache.zookeeper.server.jersey.RestMain,17,0,6,19,83,0,66,no
org.apache.zookeeper.server.jersey.RestTestSuite,0,0,2,15,8,0,0,no
org.apache.zookeeper.server.jersey.RootTest,6,0,1,17,22,2,0,yes
org.apache.zookeeper.server.jersey.SessionTest,9,0,7,23,70,2,100,yes
org.apache.zookeeper.server.jersey.SetTest,9,0,3,19,88,2,38,no
org.apache.zookeeper.server.jersey.SetTest.MyWatcher,1,0,1,14,4,0,0,yes
org.apache.zookeeper.server.jersey.WadlTest,2,0,1,17,11,2,100,yes
org.apache.zookeeper.server.jersey.ZooKeeperService,15,0,10,23,123,0,76,no
org.apache.zookeeper.server.jersey.ZooKeeperService.SessionTimerTask,4,0,4,21,26,0,18,no
org.apache.zookeeper.server.LogFormatter,18,0,1,14,58,0,0,no
org.apache.zookeeper.server.MockNIOServerCnxn,7,0,3,82,14,2,0,yes
org.apache.zookeeper.server.NettyServerCnxn,43,1,20,71,667,1,85,yes
org.apache.zookeeper.server.NettyServerCnxn.ResumeMessageEvent,2,0,5,18,14,0,60,yes
org.apache.zookeeper.server.NettyServerCnxn.SendBufferWriter,6,0,4,32,23,0,25,yes
org.apache.zookeeper.server.NettyServerCnxnFactory,18,0,14,47,313,1,81,yes
org.apache.zookeeper.server.NettyServerCnxnFactory.CnxnChannelHandler,7,1,7,20,165,1,0,yes
org.apache.zookeeper.server.NettyServerCnxnTest,15,0,2,49,50,2,50,yes
org.apache.zookeeper.server.NIOServerCnxn,55,1,28,79,812,1,82,yes
org.apache.zookeeper.server.NIOServerCnxn.SendBufferWriter,6,0,4,32,23,0,25,yes
org.apache.zookeeper.server.NIOServerCnxnFactory,32,0,18,51,208,1,80,yes
org.apache.zookeeper.server.NIOServerCnxnTest,13,0,1,48,32,2,0,no
org.apache.zookeeper.server.ObserverBean,5,0,4,41,16,1,25,yes
org.apache.zookeeper.server.persistence.FileSnap,29,0,9,22,129,0,77,no
org.apache.zookeeper.server.persistence.FileTxnLog,33,0,16,29,393,0,86,yes
org.apache.zookeeper.server.persistence.FileTxnLog.FileTxnIterator,19,0,10,23,111,0,76,yes
org.apache.zookeeper.server.persistence.FileTxnLog.PositionInputStream,3,0,9,42,52,0,33,no
org.apache.zookeeper.server.persistence.FileTxnSnapLog,24,0,15,28,154,0,72,yes
org.apache.zookeeper.server.persistence.Util,24,0,15,28,143,0,88,no
org.apache.zookeeper.server.persistence.Util.DataDirFileComparator,3,0,2,15,16,0,33,no
org.apache.zookeeper.server.PrepRequestProcessor,57,1,16,107,548,2,76,yes
org.apache.zookeeper.server.PrepRequestProcessorTest,32,0,8,55,143,2,70,yes
org.apache.zookeeper.server.PrepRequestProcessorTest.MyRequestProcessor,4,0,2,15,9,0,0,no
org.apache.zookeeper.server.PrepRequestProcessorTest.MySessionTracker,4,0,9,22,32,0,0,yes
org.apache.zookeeper.server.PurgeTxnLog,15,0,7,20,105,0,80,yes
org.apache.zookeeper.server.PurgeTxnLog.retainNRecentSnapshots.MyFileFilter,4,0,2,15,15,0,0,yes
org.apache.zookeeper.server.PurgeTxnTest,27,0,13,27,325,1,73,yes
org.apache.zookeeper.server.quorum.AckRequestProcessor,4,0,3,16,16,0,50,no
org.apache.zookeeper.server.quorum.AuthFastLeaderElection,25,0,9,22,653,0,80,no
org.apache.zookeeper.server.quorum.AuthFastLeaderElection.Messenger,17,0,2,15,414,0,44,no
org.apache.zookeeper.server.quorum.AuthFastLeaderElection.Messenger.WorkerReceiver,17,0,3,16,157,0,33,yes
org.apache.zookeeper.server.quorum.AuthFastLeaderElection.Messenger.WorkerSender,25,0,4,17,216,0,58,yes
org.apache.zookeeper.server.quorum.AuthFastLeaderElection.Notification,2,0,0,13,7,0,0,no
org.apache.zookeeper.server.quorum.AuthFastLeaderElection.ToSend,4,0,1,14,55,0,0,no
org.apache.zookeeper.server.quorum.CommitProcessor,11,0,5,96,117,2,45,yes
org.apache.zookeeper.server.quorum.FastLeaderElection,29,3,20,33,560,0,79,yes
org.apache.zookeeper.server.quorum.FastLeaderElection.Messenger,7,0,3,16,181,0,33,no
org.apache.zookeeper.server.quorum.FastLeaderElection.Messenger.WorkerReceiver,20,0,2,91,129,1,0,yes
org.apache.zookeeper.server.quorum.FastLeaderElection.Messenger.WorkerSender,8,0,3,92,28,1,33,yes
org.apache.zookeeper.server.quorum.FastLeaderElection.Notification,4,0,1,14,19,0,12,yes
org.apache.zookeeper.server.quorum.FastLeaderElection.ToSend,2,0,1,14,23,0,0,yes
org.apache.zookeeper.server.quorum.FLEBackwardElectionRoundTest,18,0,3,17,59,1,27,yes
org.apache.zookeeper.server.quorum.FLELostMessageTest,20,0,4,18,50,1,41,yes
org.apache.zookeeper.server.quorum.FLETestUtils,3,0,1,14,31,0,100,yes
org.apache.zookeeper.server.quorum.FLETestUtils.LEThread,7,0,2,88,26,0,0,yes
org.apache.zookeeper.server.quorum.flexible.QuorumHierarchical,13,0,8,21,128,0,30,yes
org.apache.zookeeper.server.quorum.flexible.QuorumMaj,2,0,3,16,13,0,66,yes
org.apache.zookeeper.server.quorum.Follower,22,2,7,33,104,1,50,yes
org.apache.zookeeper.server.quorum.FollowerBean,6,0,5,42,19,1,19,no
org.apache.zookeeper.server.quorum.FollowerRequestProcessor,13,0,4,95,61,2,35,yes
org.apache.zookeeper.server.quorum.FollowerZooKeeperServer,25,0,10,105,94,3,74,yes
org.apache.zookeeper.server.quorum.Leader,46,1,28,41,633,0,92,no
org.apache.zookeeper.server.quorum.Leader.LearnerCnxAcceptor,8,0,3,92,33,1,33,yes
org.apache.zookeeper.server.quorum.Leader.Proposal,5,0,1,14,9,0,33,yes
org.apache.zookeeper.server.quorum.Leader.ToBeAppliedRequestProcessor,9,0,3,16,28,0,16,yes
org.apache.zookeeper.server.quorum.Leader.XidRolloverException,1,0,1,45,5,0,0,yes
org.apache.zookeeper.server.quorum.LeaderBean,6,0,4,41,20,1,50,no
org.apache.zookeeper.server.quorum.LeaderElection,30,1,4,17,189,0,58,no
org.apache.zookeeper.server.quorum.LeaderElection.ElectionResult,1,0,0,13,7,0,0,no
org.apache.zookeeper.server.quorum.LeaderElectionBean,2,0,3,16,12,0,66,no
org.apache.zookeeper.server.quorum.LeaderZooKeeperServer,25,0,14,98,110,2,92,yes
org.apache.zookeeper.server.quorum.Learner,47,3,13,26,356,0,76,no
org.apache.zookeeper.server.quorum.Learner.PacketInFlight,1,0,0,13,4,0,0,yes
org.apache.zookeeper.server.quorum.LearnerHandler,44,0,14,103,493,1,78,no
org.apache.zookeeper.server.quorum.LearnerHandler.SyncLimitCheck,3,0,4,17,42,0,44,yes
org.apache.zookeeper.server.quorum.LearnerSessionTracker,8,0,11,24,46,0,80,yes
org.apache.zookeeper.server.quorum.LearnerSyncRequest,3,0,1,23,8,1,0,no
org.apache.zookeeper.server.quorum.LearnerTest,20,0,2,16,74,1,50,no
org.apache.zookeeper.server.quorum.LearnerTest.SimpleLearner,4,0,1,27,6,1,0,yes
org.apache.zookeeper.server.quorum.LearnerTest.SimpleLearnerZooKeeperServer,6,0,3,98,15,3,66,yes
org.apache.zookeeper.server.quorum.LearnerZooKeeperServer,17,3,11,95,84,2,0,yes
org.apache.zookeeper.server.quorum.LocalPeerBean,3,0,13,28,42,1,7,yes
org.apache.zookeeper.server.quorum.Observer,18,1,5,31,78,1,0,yes
org.apache.zookeeper.server.quorum.ObserverRequestProcessor,13,0,4,95,61,2,35,yes
org.apache.zookeeper.server.quorum.ObserverZooKeeperServer,20,0,8,103,65,3,65,yes
org.apache.zookeeper.server.quorum.ProposalRequestProcessor,11,0,4,17,37,0,37,yes
org.apache.zookeeper.server.quorum.QuorumBean,2,0,4,17,17,0,50,yes
org.apache.zookeeper.server.quorum.QuorumCnxManager,33,1,19,32,511,0,85,yes
org.apache.zookeeper.server.quorum.QuorumCnxManager.Listener,9,0,3,92,64,1,33,yes
org.apache.zookeeper.server.quorum.QuorumCnxManager.Message,1,0,1,14,8,0,0,yes
org.apache.zookeeper.server.quorum.QuorumCnxManager.RecvWorker,12,0,3,92,56,1,26,no
org.apache.zookeeper.server.quorum.QuorumCnxManager.SendWorker,18,0,6,95,104,1,50,yes
