classname,CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,change
jEdit-org-gjt-sp-jedit-bsh-ReflectManager-ReflectManager.java,1,0,1,17,11,1,0,no
jEdit-org-gjt-sp-jedit-bsh-ReflectError-ReflectError.java,1,0,2,46,5,0,0,no
jEdit-org-gjt-sp-jedit-bsh-reflect-ReflectManagerImpl-ReflectManagerImpl.java,3,1,3,16,25,0,66,no
jEdit-org-gjt-sp-jedit-bsh-Remote-Remote.java,21,0,6,19,123,0,0,no
jEdit-org-gjt-sp-jedit-bsh-ReturnControl-ReturnControl.java,1,0,1,14,10,0,0,no
jEdit-org-gjt-sp-jedit-bsh-SimpleNode-SimpleNode.java,11,38,18,31,105,0,88,no
jEdit-org-gjt-sp-jedit-bsh-StringUtil-StringUtil.java,6,0,5,18,56,0,0,no
jEdit-org-gjt-sp-jedit-bsh-TargetError-TargetError.java,9,0,10,66,71,1,65,no
jEdit-org-gjt-sp-jedit-bsh-This-This.java,18,2,11,24,129,0,59,no
jEdit-org-gjt-sp-jedit-bsh-TokenMgrError-TokenMgrError.java,1,0,2,15,18,0,93,no
jEdit-org-gjt-sp-jedit-bsh-Token-Token.java,3,0,6,50,71,0,96,no
jEdit-org-gjt-sp-jedit-bsh-Types-Types.java,22,0,11,24,252,0,91,no
jEdit-org-gjt-sp-jedit-bsh-UtilEvalError-UtilEvalError.java,5,3,4,48,23,0,0,no
jEdit-org-gjt-sp-jedit-bsh-UtilTargetError-UtilTargetError.java,5,0,3,51,20,1,33,no
jEdit-org-gjt-sp-jedit-bsh-Variable-Variable.java,7,0,12,25,73,0,76,no
jEdit-org-gjt-sp-jedit-bsh-XThis-Handler.java,10,0,4,28,83,1,75,no
jEdit-org-gjt-sp-jedit-bsh-XThis-XThis.java,16,0,2,15,49,0,0,no
jEdit-org-gjt-sp-jedit-Buffer-Buffer.java,57,0,80,220,1349,1,96,yes
jEdit-org-gjt-sp-jedit-buffer-BufferAdapter-BufferAdapter.java,1,2,8,21,18,0,0,no
jEdit-org-gjt-sp-jedit-buffer-BufferSegment-BufferSegment.java,3,0,8,21,73,0,43,no
jEdit-org-gjt-sp-jedit-buffer-ContentManager-ContentManager.java,5,0,12,25,145,0,18,yes
jEdit-org-gjt-sp-jedit-buffer-DefaultFoldHandlerProvider-DefaultFoldHandlerProvider.java,5,0,3,16,16,0,0,no
jEdit-org-gjt-sp-jedit-buffer-DummyFoldHandler-DummyFoldHandler.java,2,0,2,24,11,1,0,yes
jEdit-org-gjt-sp-jedit-buffer-ExplicitFoldHandler-ExplicitFoldHandler.java,2,0,2,24,49,1,0,no
jEdit-org-gjt-sp-jedit-buffer-FoldHandler-FoldHandler.java,5,3,9,22,42,0,72,no
jEdit-org-gjt-sp-jedit-buffer-IndentFoldHandler-IndentFoldHandler.java,5,0,4,26,64,1,0,no
jEdit-org-gjt-sp-jedit-buffer-JEditBuffer-JEditBuffer.java,62,1,127,140,1786,0,95,yes
jEdit-org-gjt-sp-jedit-buffer-JEditBuffer-Listener.java,1,0,1,14,10,0,0,no
jEdit-org-gjt-sp-jedit-buffer-JEditBuffer-PropValue.java,2,0,2,15,15,0,25,yes
jEdit-org-gjt-sp-jedit-buffer-KillRing-KillRing.java,9,1,16,29,195,0,60,yes
jEdit-org-gjt-sp-jedit-buffer-LineManager-LineManager.java,7,0,17,30,248,0,70,no
jEdit-org-gjt-sp-jedit-buffer-PositionManager-PositionManager.java,9,0,4,17,121,0,50,no
jEdit-org-gjt-sp-jedit-buffer-PositionManager-PosBottomHalf.java,6,0,8,21,52,0,50,no
jEdit-org-gjt-sp-jedit-buffer-PositionManager-PosTopHalf.java,3,0,3,16,21,0,0,no
