Name,CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,change
com.logicaldoc.gui.common.client.beans.GUIBarcodePattern,2,0,6,19,23,75,0,no
com.logicaldoc.gui.common.client.beans.GUIBookmark,2,0,8,21,30,80,0,no
com.logicaldoc.gui.common.client.beans.GUICalendarEvent,7,0,44,57,192,95,0,no
com.logicaldoc.gui.common.client.beans.GUIContact,2,0,18,31,66,90,0,no
com.logicaldoc.gui.common.client.beans.GUICriterion,4,0,13,26,46,86,0,no
com.logicaldoc.gui.common.client.beans.GUICustomId,2,0,11,24,48,87,0,no
com.logicaldoc.gui.common.client.beans.GUIDashlet,0,0,10,23,39,76,0,no
com.logicaldoc.gui.common.client.beans.GUIDocument,8,1,103,125,415,98,1,yes
com.logicaldoc.gui.common.client.beans.GUIEmail,2,0,19,32,68,90,0,no
com.logicaldoc.gui.common.client.beans.GUIEmailAccount,5,0,39,52,143,95,0,no
com.logicaldoc.gui.common.client.beans.GUIEmailRule,2,0,8,21,34,88,0,no
com.logicaldoc.gui.common.client.beans.GUIEmailSettings,1,0,14,27,56,91,0,no
com.logicaldoc.gui.common.client.beans.GUIEvent,3,0,12,25,46,85,0,no
com.logicaldoc.gui.common.client.beans.GUIExtensibleObject,3,2,9,22,50,75,0,yes
com.logicaldoc.gui.common.client.beans.GUIExternalCall,6,0,12,25,69,84,0,no
com.logicaldoc.gui.common.client.beans.GUIFolder,5,0,54,76,201,95,1,yes
com.logicaldoc.gui.common.client.beans.GUIGroup,2,0,10,23,40,87,0,no
com.logicaldoc.gui.common.client.beans.GUIHistory,2,0,24,37,86,92,0,no
com.logicaldoc.gui.common.client.beans.GUIImportFolder,5,0,43,56,152,95,0,no
com.logicaldoc.gui.common.client.beans.GUIIncrementalArchive,5,0,16,29,65,87,0,no
com.logicaldoc.gui.common.client.beans.GUIInfo,7,0,77,90,293,97,0,yes
com.logicaldoc.gui.common.client.beans.GUILdapSettings,1,0,32,45,115,94,0,no
com.logicaldoc.gui.common.client.beans.GUIMenu,2,0,6,19,23,75,0,no
com.logicaldoc.gui.common.client.beans.GUIMessage,2,0,18,31,66,90,0,no
com.logicaldoc.gui.common.client.beans.GUIMessageTemplate,2,0,10,23,37,83,0,yes
com.logicaldoc.gui.common.client.beans.GUIParameter,2,0,9,22,37,72,0,no
com.logicaldoc.gui.common.client.beans.GUIRating,2,0,12,25,45,85,0,no
com.logicaldoc.gui.common.client.beans.GUIReport,4,0,27,40,98,93,0,no
com.logicaldoc.gui.common.client.beans.GUIResult,2,0,10,23,37,83,0,no
com.logicaldoc.gui.common.client.beans.GUIRetentionPolicy,2,0,18,31,72,94,0,no
com.logicaldoc.gui.common.client.beans.GUIRight,1,0,36,49,129,94,0,yes
com.logicaldoc.gui.common.client.beans.GUIScheduling,2,0,32,45,112,93,0,no
com.logicaldoc.gui.common.client.beans.GUISearchEngine,2,0,20,33,72,90,0,yes
com.logicaldoc.gui.common.client.beans.GUISearchOptions,4,0,59,72,213,96,0,yes
com.logicaldoc.gui.common.client.beans.GUISecuritySettings,2,0,16,29,59,88,0,no
com.logicaldoc.gui.common.client.beans.GUISequence,1,0,14,27,51,87,0,no
com.logicaldoc.gui.common.client.beans.GUISession,4,0,12,25,44,85,0,no
com.logicaldoc.gui.common.client.beans.GUIStamp,2,0,28,41,102,94,0,yes
com.logicaldoc.gui.common.client.beans.GUITag,1,0,8,21,30,80,0,no
com.logicaldoc.gui.common.client.beans.GUITask,3,0,21,34,86,92,0,no
com.logicaldoc.gui.common.client.beans.GUITemplate,5,0,16,29,79,88,0,no
com.logicaldoc.gui.common.client.beans.GUITenant,5,0,48,61,174,95,0,no
com.logicaldoc.gui.common.client.beans.GUITransition,3,0,13,26,47,83,0,yes
com.logicaldoc.gui.common.client.beans.GUIUser,10,0,83,96,362,97,0,yes
com.logicaldoc.gui.common.client.beans.GUIValue,1,0,6,19,23,66,0,no
com.logicaldoc.gui.common.client.beans.GUIVersion,2,0,12,137,45,85,2,no
com.logicaldoc.gui.common.client.beans.GUIWebServiceSettings,1,0,6,19,24,75,0,no
