CBO,WMC,SLOC,Output
4,2,20,Accuracy
18,14,269,Precision
20,7,512,Precision
5,2,46,Accuracy
1,5,24,Accuracy
7,1,33,Accuracy
7,2,54,Accuracy
15,7,313,Accuracy
9,2,78,Accuracy
11,3,76,Accuracy
9,7,147,Accuracy
6,2,64,Accuracy
11,6,229,Gmean1
8,8,129,Accuracy
1,3,15,Accuracy
19,9,347,Precision
8,4,108,Accuracy
10,14,78,Accuracy
13,2,166,Accuracy
11,1,185,Balance
10,2,184,Accuracy
14,5,189,Accuracy
18,8,422,Accuracy
55,14,227,Accuracy
2,2,20,Accuracy
2,2,10,Accuracy
3,4,45,Accuracy
1,1,40,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,2,16,Accuracy
2,2,19,Accuracy
2,2,102,Accuracy
2,3,39,Accuracy
6,2,14,Accuracy
8,13,127,Accuracy
4,4,20,Accuracy
9,6,88,Accuracy
15,3,62,Gmean1
9,1,28,Accuracy
15,1,43,Gmean1
23,1,106,Gmean1
22,3,84,Balance
32,7,220,Precision
30,3,81,Balance
8,5,48,Accuracy
20,3,78,Balance
29,4,104,Accuracy
18,33,183,Accuracy
17,12,122,Gmean2
9,1,17,Accuracy
