CBO,SLOC,DIT,Output
4,57,0,Gmean2
7,55,0,Balance
0,22,1,Balance
0,22,1,Balance
4,103,0,Gmean2
1,41,0,Balance
2,11,2,Balance
5,136,0,Gmean2
22,287,1,Accuracy
1,8,1,Balance
12,136,1,Balance
27,279,2,Accuracy
7,56,1,Balance
1,112,0,Balance
0,4,1,Balance
1,31,0,Balance
6,17,0,Balance
13,95,0,Balance
7,42,0,Balance
15,514,0,Balance
4,25,1,Balance
20,274,0,Balance
8,229,0,Balance
4,22,1,Balance
4,54,0,Balance
1,6,1,Balance
7,101,2,Accuracy
5,37,0,Balance
1,15,1,Balance
11,92,3,Gmean2
3,58,0,Accuracy
5,73,0,Gmean2
4,42,0,Gmean2
3,23,0,Accuracy
2,74,0,Balance
4,28,0,Gmean2
12,157,0,Balance
8,65,0,Precision
4,38,0,Gmean2
5,48,1,Accuracy
7,103,0,Balance
2,13,1,Balance
4,52,0,Balance
4,38,0,Gmean2
4,21,0,Gmean2
1,4,0,Balance
3,18,0,Accuracy
9,36,1,Accuracy
6,27,2,Balance
1,62,0,Balance
1,83,0,Accuracy
1,17,0,Balance
1,63,0,Balance
12,58,0,Accuracy
1,13,0,Balance
9,262,0,Gmean2
5,32,1,Accuracy
3,16,1,Balance
4,52,1,Balance
3,13,1,Balance
3,48,0,Balance
7,70,0,Balance
9,168,0,Gmean2
32,571,0,Balance
15,133,0,Balance
22,176,0,Gmean2
2,26,1,Balance
8,52,1,Balance
1,12,0,Balance
14,88,1,Accuracy
10,15,2,Balance
13,130,0,Gmean2
6,27,0,Accuracy
11,71,0,Accuracy
20,168,0,Balance
5,96,1,Balance
4,36,0,Accuracy
4,242,0,Gmean2
9,38,0,Accuracy
25,229,0,Balance
26,85,0,Gmean2
10,49,0,Accuracy
13,30,1,Balance
11,59,0,Accuracy
4,69,0,Balance
1,14,0,Balance
2,8,0,Balance
10,156,0,Balance
8,2552,0,Balance
11,109,0,Gmean2
13,154,0,Balance
5,106,2,Balance
1,19,0,Balance
0,22,1,Balance
14,136,0,Gmean2
8,80,0,Accuracy
6,50,0,Accuracy
2,38,1,Balance
3,9,0,Precision
1,29,0,Balance
3,68,1,Balance
27,116,1,Balance
16,262,0,Balance
11,79,0,Accuracy
1,42,0,Balance
18,130,2,Accuracy
3,25,0,Balance
2,18,3,Balance
4,26,0,Balance
10,390,1,Balance
14,46,2,Balance
5,15,0,Balance
2,18,1,Balance
15,50,2,Balance
1,11,0,Balance
2,40,0,Balance
2,19,0,Balance
10,56,0,Balance
26,319,1,Accuracy
3,32,0,Balance
10,44,0,Accuracy
1,20,0,Balance
5,37,2,Balance
23,254,0,Balance
6,102,0,Gmean2
3,7,0,Balance
16,82,0,Balance
3,7,0,Balance
3,18,0,Balance
3,18,0,Balance
